date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:33	92965/92965	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%227be7140d7945a4d3415a8ee756b03a63%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/u-le50pJvjNlBDunhB2Zvj7g8KZjN2BNwZaJEKHoZuU.63BTU57O.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/u-le50pJvjNlBDunhB2Zvj7g8KZjN2BNwZaJEKHoZuU.63BTU57O.mjs	(from https://solanadrain.framer.ai/)
14:45:33	87110/87110	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%22dd088a2507b66176bffdbd0d80aa7e6c%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-X2O4NBP4.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-X2O4NBP4.mjs	(from https://solanadrain.framer.ai/)
14:45:34	571118/571118	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%2227385478d167594f074106e4170cee77%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-QRWB4DR5.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-QRWB4DR5.mjs	(from https://solanadrain.framer.ai/)
14:45:35	92211/92211	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%2219bdaf4859d2dbcc4d2b48cfcfaa50f5%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/gWcg819lgHg4Hcn0eS63TaXvfRpYdPZk1cTOUNJFhr8.CT6NXNTF.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/gWcg819lgHg4Hcn0eS63TaXvfRpYdPZk1cTOUNJFhr8.CT6NXNTF.mjs	(from https://solanadrain.framer.ai/Verify-Account)
14:45:35	113110/113110	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%22f82f4424adb2945a09b1e11fe4e26936%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/LPpTrBY_3B-DoSsaKHT5Ov6YL3TCejDBuWB6EYYgpXI.5T446MUL.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/LPpTrBY_3B-DoSsaKHT5Ov6YL3TCejDBuWB6EYYgpXI.5T446MUL.mjs	(from https://solanadrain.framer.ai/Create-Account)
14:45:35	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2015%20Jun%202024%2012:45:33%20GMT	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	(from https://solanadrain.framer.ai/)
14:45:35	447/447	---M--	200	added ('OK')	text/javascript	etag:%22bac0d5b5f6a61029b51079932ccda746%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	(from https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs)
14:45:36	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2015%20Jun%202024%2012:45:35%20GMT	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	(from https://solanadrain.framer.ai/)
14:45:36	875/875	---M--	200	added ('OK')	text/javascript	etag:%229f42d87051c45e279a8b1aaf398d7bc0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	(from https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs)
14:45:37	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2015%20Jun%202024%2012:45:36%20GMT	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	(from https://solanadrain.framer.ai/)
14:45:37	44/44	---M--	200	added ('OK')	text/javascript	etag:%22f5fe0cab78140e0e5aa29f68ce8c2888%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	(from https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs)
14:45:38	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2015%20Jun%202024%2012:45:37%20GMT	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	(from https://solanadrain.framer.ai/Create-Account)
14:45:39	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2015%20Jun%202024%2012:45:38%20GMT	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	(from https://solanadrain.framer.ai/Verify-Account)
14:45:40	936/936	---M--	200	added ('OK')	text/javascript	etag:%225c35d0d46145a59b0ed59239d86ed2d0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	(from https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs)
14:45:40	871/871	---M--	200	added ('OK')	text/javascript	etag:%225bcdb2fe90cfe593f8b38377076c8ac0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	(from https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs)
